Year,SEER,Mortality,Type,Race,Gender
2007,2,1.5,Esophagus,White,Female 
2008,1.8,1.5,Esophagus,White,Female 
2009,2,1.5,Esophagus,White,Female 
2010,1.7,1.6,Esophagus,White,Female 
1975,3.7,4.1,Esophagus,Black,Female 
1976,5.6,4.3,Esophagus,Black,Female 
1977,5.4,4.4,Esophagus,Black,Female 
1978,4.3,4.3,Esophagus,Black,Female 
1979,5.2,4.2,Esophagus,Black,Female 
1980,7.4,4.9,Esophagus,Black,Female 
1981,7.5,4.3,Esophagus,Black,Female 
1982,6.4,4.5,Esophagus,Black,Female 
1983,4.3,4.5,Esophagus,Black,Female 
1984,6,4.6,Esophagus,Black,Female 
1985,5.8,4.3,Esophagus,Black,Female 
1986,6.3,4.5,Esophagus,Black,Female 
1987,4.8,4.4,Esophagus,Black,Female 
1988,5,3.9,Esophagus,Black,Female 
1989,5.4,4.3,Esophagus,Black,Female 
1990,5.8,4.4,Esophagus,Black,Female 
1991,4.9,4.1,Esophagus,Black,Female 
1992,5.3,4.1,Esophagus,Black,Female 
1993,4.6,4.1,Esophagus,Black,Female 
1994,5.1,3.9,Esophagus,Black,Female 
1995,4.4,3.5,Esophagus,Black,Female 
1996,4.8,3.7,Esophagus,Black,Female 
1997,4.5,3.4,Esophagus,Black,Female 
1998,4.3,3.6,Esophagus,Black,Female 
1999,4.1,3.1,Esophagus,Black,Female 
2000,4.4,3.3,Esophagus,Black,Female 
2001,2.6,3,Esophagus,Black,Female 
2002,3.7,2.9,Esophagus,Black,Female 
2003,3.7,2.9,Esophagus,Black,Female 
2004,4,2.9,Esophagus,Black,Female 
2005,2.9,2.3,Esophagus,Black,Female 
2006,2.9,2.3,Esophagus,Black,Female 
2007,2.9,2.2,Esophagus,Black,Female 
2008,2.2,2.3,Esophagus,Black,Female 
2009,3.4,1.9,Esophagus,Black,Female 
2010,2.8,2,Esophagus,Black,Female 
1975,9.4,2.9,Melanoma,White,Male
1976,9.6,3.1,Melanoma,White,Male
1977,10.9,3.2,Melanoma,White,Male
1978,10.7,3.3,Melanoma,White,Male
1979,11.9,3.5,Melanoma,White,Male
1980,13.4,3.4,Melanoma,White,Male
1981,13.6,3.4,Melanoma,White,Male
1982,14.2,3.6,Melanoma,White,Male
1983,14.4,3.6,Melanoma,White,Male
1984,14.8,3.8,Melanoma,White,Male
1985,17.2,3.8,Melanoma,White,Male
1986,17.9,3.9,Melanoma,White,Male
1987,18.1,4.1,Melanoma,White,Male
1988,17.4,4.1,Melanoma,White,Male
1989,18.9,4.2,Melanoma,White,Male
1990,19.3,4.2,Melanoma,White,Male
1991,20.5,4.3,Melanoma,White,Male
1992,21.2,4.3,Melanoma,White,Male
1993,21,4.3,Melanoma,White,Male
1994,23.2,4.3,Melanoma,White,Male
1995,23.5,4.3,Melanoma,White,Male
1996,25.4,4.5,Melanoma,White,Male
1997,25.2,4.4,Melanoma,White,Male
1998,26.2,4.6,Melanoma,White,Male
1999,27,4.3,Melanoma,White,Male
2000,28.3,4.3,Melanoma,White,Male
2001,29.3,4.4,Melanoma,White,Male
2002,28.5,4.3,Melanoma,White,Male
2003,28.9,4.4,Melanoma,White,Male
2004,30.8,4.5,Melanoma,White,Male
2005,34.1,4.5,Melanoma,White,Male
2006,33.3,4.6,Melanoma,White,Male
2007,33.2,4.5,Melanoma,White,Male
2008,35.4,4.6,Melanoma,White,Male
2009,35,4.8,Melanoma,White,Male
2010,35.4,4.7,Melanoma,White,Male
1975,8.2,1.7,Melanoma,White,Female 
1976,8.5,1.9,Melanoma,White,Female 
1977,9.1,1.9,Melanoma,White,Female 
1978,9.9,1.9,Melanoma,White,Female 
1979,10.1,2,Melanoma,White,Female 
1980,11.1,1.9,Melanoma,White,Female 
1981,12,2.1,Melanoma,White,Female 
1982,11.9,2,Melanoma,White,Female 
1983,11.5,2,Melanoma,White,Female 
1984,12,2,Melanoma,White,Female 
1985,12.7,2.1,Melanoma,White,Female 
1986,13.3,2.1,Melanoma,White,Female 
1987,14,2,Melanoma,White,Female 
1988,13.3,2.1,Melanoma,White,Female 
1989,13.9,2.1,Melanoma,White,Female 
1990,13.9,2.2,Melanoma,White,Female 
1991,14.8,2,Melanoma,White,Female 
1992,14.4,2.1,Melanoma,White,Female 
1993,14.2,2.1,Melanoma,White,Female 
1994,14.9,2,Melanoma,White,Female 
1995,16.5,2,Melanoma,White,Female 
1996,17,2.1,Melanoma,White,Female 
1997,17.9,2.1,Melanoma,White,Female 
1998,18.2,2,Melanoma,White,Female 
1999,18.4,2,Melanoma,White,Female 
2000,19.1,2,Melanoma,White,Female 
2001,20.1,2,Melanoma,White,Female 
2002,19.9,2,Melanoma,White,Female 
2003,20.2,2,Melanoma,White,Female 
2004,21.4,2,Melanoma,White,Female 
2005,23.1,2.1,Melanoma,White,Female 
2006,22.8,2,Melanoma,White,Female 
2007,22.3,1.9,Melanoma,White,Female 
2008,23.7,1.9,Melanoma,White,Female 
2009,23,2.1,Melanoma,White,Female 
2010,24.2,2,Melanoma,White,Female 
1975,89.2,75.5,Lung,White,Male
1976,92.8,77.6,Lung,White,Male
1977,94.8,79.1,Lung,White,Male
1978,95.9,80.8,Lung,White,Male
1979,95.2,81.6,Lung,White,Male
1980,97.7,83.3,Lung,White,Male
1981,98.4,83.5,Lung,White,Male
1982,99.7,85.2,Lung,White,Male
1983,97.6,85.4,Lung,White,Male
1984,99.9,86.2,Lung,White,Male
1985,96.9,86.7,Lung,White,Male
1986,97.4,87,Lung,White,Male
1987,100.6,88.1,Lung,White,Male
1988,97.9,87.9,Lung,White,Male
1989,97,87.6,Lung,White,Male
1990,96.1,88.4,Lung,White,Male
1991,95.9,87.8,Lung,White,Male
1992,94.9,86,Lung,White,Male
1993,92.5,85.5,Lung,White,Male
1994,90.1,83.8,Lung,White,Male
1995,88,82.6,Lung,White,Male
1996,86.7,81.2,Lung,White,Male
1997,84.8,79.8,Lung,White,Male
1998,86.6,78.5,Lung,White,Male
1999,83.3,75.7,Lung,White,Male
2000,80.8,75.4,Lung,White,Male
2001,81,74.3,Lung,White,Male
2002,79.8,72.9,Lung,White,Male
2003,79.6,71.3,Lung,White,Male
2004,75.3,69.7,Lung,White,Male
2005,75.6,69.1,Lung,White,Male
2006,73,67,Lung,White,Male
2007,72.6,64.8,Lung,White,Male
2008,70.6,63.5,Lung,White,Male
2009,69.4,61.4,Lung,White,Male
2010,66.6,59.9,Lung,White,Male
1975,114.9,91,Lung,Black,Male
1976,131,94,Lung,Black,Male
1977,124.9,100.8,Lung,Black,Male
1978,130.5,101.6,Lung,Black,Male
1979,127.7,102.9,Lung,Black,Male
1980,151.3,106.7,Lung,Black,Male
1981,143,109.7,Lung,Black,Male
1982,141.1,112.5,Lung,Black,Male
1983,151.3,112.8,Lung,Black,Male
1984,158.8,118,Lung,Black,Male
1985,149.7,117.5,Lung,Black,Male
1986,156.3,119.2,Lung,Black,Male
1987,143.7,121.8,Lung,Black,Male
1988,144.9,122.2,Lung,Black,Male
1989,142.8,124.7,Lung,Black,Male
1990,137.2,125.2,Lung,Black,Male
1991,144.8,123.6,Lung,Black,Male
1992,148.7,121.1,Lung,Black,Male
1993,135.3,122,Lung,Black,Male
1994,131.6,118.6,Lung,Black,Male
1995,138.7,116.1,Lung,Black,Male
1996,128.4,113.2,Lung,Black,Male
1997,129.2,110.2,Lung,Black,Male
1998,130.4,107.4,Lung,Black,Male
1999,121.9,103.6,Lung,Black,Male
2000,114.2,100.9,Lung,Black,Male
2001,113.9,99.3,Lung,Black,Male
2002,112.7,95.6,Lung,Black,Male
2003,118.4,93,Lung,Black,Male
2004,104.7,90.4,Lung,Black,Male
2005,97.5,87,Lung,Black,Male
2006,100.4,83.9,Lung,Black,Male
2007,99.6,82.2,Lung,Black,Male
2008,102.7,78.2,Lung,Black,Male
2009,96.2,75.5,Lung,Black,Male
2010,84,73.6,Lung,Black,Male
1975,24.9,17.7,Lung,White,Female 
1976,27.3,19.1,Lung,White,Female 
1977,28,20.1,Lung,White,Female 
1978,29.9,21.6,Lung,White,Female 
1979,31.7,22.4,Lung,White,Female 
1980,32.4,24.2,Lung,White,Female 
1981,35.5,25.1,Lung,White,Female 
1982,37.7,26.7,Lung,White,Female 
1983,39.1,28.3,Lung,White,Female 
1984,39.6,29.3,Lung,White,Female 
1985,40.9,30.8,Lung,White,Female 
1986,42.9,31.8,Lung,White,Female 
1987,45.5,33,Lung,White,Female 
1988,47.7,34.6,Lung,White,Female 
1989,47.2,36.3,Lung,White,Female 
1990,49,37.3,Lung,White,Female 
1991,50.6,38.1,Lung,White,Female 
1992,51.1,39.2,Lung,White,Female 
1993,50.7,40,Lung,White,Female 
1994,51.6,40.3,Lung,White,Female 
1995,52.4,41,Lung,White,Female 
1996,53,41.2,Lung,White,Female 
1997,55,41.5,Lung,White,Female 
1998,55.1,41.7,Lung,White,Female 
1999,54.4,40.9,Lung,White,Female 
2000,53.2,42.1,Lung,White,Female 
2001,53.5,42,Lung,White,Female 
2002,54.3,42.6,Lung,White,Female 
2003,55.6,42.3,Lung,White,Female 
2004,53.8,42,Lung,White,Female 
2005,55.7,41.7,Lung,White,Female 
2006,55.3,41.4,Lung,White,Female 
2007,55.9,41.3,Lung,White,Female 
2008,54,40.4,Lung,White,Female 
2009,53.6,40,Lung,White,Female 
2010,51.2,39.2,Lung,White,Female 
1975,24.7,17.3,Lung,Black,Female 
1976,28.6,18.5,Lung,Black,Female 
1977,33.9,19.9,Lung,Black,Female 
1978,31.7,20.7,Lung,Black,Female 
1979,34.1,22.2,Lung,Black,Female 
1980,38.3,24.6,Lung,Black,Female 
1981,37.4,25.1,Lung,Black,Female 
1982,35.7,26.3,Lung,Black,Female 
1983,39.5,28.7,Lung,Black,Female 
1984,44.8,28,Lung,Black,Female 
1985,46,29.6,Lung,Black,Female 
1986,48.7,31,Lung,Black,Female 
1987,43.3,32.5,Lung,Black,Female 
1988,48.1,33.5,Lung,Black,Female 
1989,51.4,34.9,Lung,Black,Female 
1990,52.1,36.5,Lung,Black,Female 
1991,57.1,37.2,Lung,Black,Female 
1992,55.9,38.6,Lung,Black,Female 
1993,52.4,37.7,Lung,Black,Female 
1994,56.5,38.6,Lung,Black,Female 
1995,50,38.8,Lung,Black,Female 
1996,55.3,39.1,Lung,Black,Female 
1997,50.5,40.5,Lung,Black,Female 
1998,57.8,40.7,Lung,Black,Female 
1999,58.9,40,Lung,Black,Female 
2000,57.2,39.6,Lung,Black,Female 
2001,57.5,38.8,Lung,Black,Female 
2002,60.4,40.2,Lung,Black,Female 
2003,55.3,40.2,Lung,Black,Female 
2004,57,39.9,Lung,Black,Female 
2005,59.2,40.1,Lung,Black,Female 
2006,59.5,39.1,Lung,Black,Female 
2007,56.4,38.1,Lung,Black,Female 
2008,55.9,36.9,Lung,Black,Female 
2009,57.5,35.9,Lung,Black,Female 
2010,53.2,36.3,Lung,Black,Female 
1975,15.7,13.6,Pancreas,White,Male
1976,14.5,13.4,Pancreas,White,Male
1977,14.6,13.6,Pancreas,White,Male
1978,13.9,13.5,Pancreas,White,Male
1979,13.8,13.3,Pancreas,White,Male
1980,13.7,12.8,Pancreas,White,Male
1981,13.3,12.9,Pancreas,White,Male
1982,13.5,12.8,Pancreas,White,Male
1983,14.1,12.4,Pancreas,White,Male
1984,13.9,12.6,Pancreas,White,Male
1985,13.6,12.5,Pancreas,White,Male
1986,13.5,12.2,Pancreas,White,Male
1987,13.4,12.2,Pancreas,White,Male
1988,13.3,12.2,Pancreas,White,Male
1989,12.7,12.2,Pancreas,White,Male
1990,12.5,12.2,Pancreas,White,Male
1991,12.6,12.3,Pancreas,White,Male
1992,12.9,12.2,Pancreas,White,Male
1993,12,12.1,Pancreas,White,Male
1994,12.3,12,Pancreas,White,Male
1995,12.3,11.9,Pancreas,White,Male
1996,12.5,11.8,Pancreas,White,Male
1997,12.6,12,Pancreas,White,Male
1998,13,12,Pancreas,White,Male
1999,12.2,12.1,Pancreas,White,Male
2000,12.9,12,Pancreas,White,Male
2001,13.1,12.1,Pancreas,White,Male
2002,13.3,12.1,Pancreas,White,Male
2003,12.7,11.9,Pancreas,White,Male
2004,13.6,12.2,Pancreas,White,Male
2005,13.4,12.3,Pancreas,White,Male
2006,14.5,12.4,Pancreas,White,Male
2007,14.4,12.4,Pancreas,White,Male
2008,14.2,12.4,Pancreas,White,Male
2009,14.4,12.4,Pancreas,White,Male
2010,13.3,12.6,Pancreas,White,Male
1975,18.1,16.3,Pancreas,Black,Male
1976,22.7,16,Pancreas,Black,Male
1977,19.4,17.1,Pancreas,Black,Male
1978,20,15.9,Pancreas,Black,Male
1979,19.1,15.9,Pancreas,Black,Male
1980,21.8,16.5,Pancreas,Black,Male
1981,20.9,17,Pancreas,Black,Male
1982,21,17.1,Pancreas,Black,Male
1983,23.1,18.1,Pancreas,Black,Male
1984,18.4,17.5,Pancreas,Black,Male
1985,25.3,17.3,Pancreas,Black,Male
1986,20.2,16.7,Pancreas,Black,Male
1987,19,17.4,Pancreas,Black,Male
1988,19.5,17.1,Pancreas,Black,Male
1989,16.1,17.7,Pancreas,Black,Male
1990,18.8,18.1,Pancreas,Black,Male
1991,18.2,16.9,Pancreas,Black,Male
1992,19.8,18.2,Pancreas,Black,Male
1993,18.9,17.6,Pancreas,Black,Male
1994,21.5,17.7,Pancreas,Black,Male
1995,20.3,15.8,Pancreas,Black,Male
1996,19.7,16.4,Pancreas,Black,Male
1997,19.4,16.4,Pancreas,Black,Male
1998,16.2,16.5,Pancreas,Black,Male
1999,19.5,16.6,Pancreas,Black,Male
2000,18.2,15.8,Pancreas,Black,Male
2001,15.5,15.1,Pancreas,Black,Male
2002,14.9,15.5,Pancreas,Black,Male
2003,17.1,15.5,Pancreas,Black,Male
2004,19.5,15.6,Pancreas,Black,Male
2005,18.4,15.5,Pancreas,Black,Male
2006,18.3,14.9,Pancreas,Black,Male
2007,16.4,15.6,Pancreas,Black,Male
2008,19.3,15.1,Pancreas,Black,Male
2009,20.4,15,Pancreas,Black,Male
2010,19.3,15.7,Pancreas,Black,Male
1975,8.9,8.3,Pancreas,White,Female 
1976,9.7,8.4,Pancreas,White,Female 
1977,9.5,8.6,Pancreas,White,Female 
1978,8.6,8.6,Pancreas,White,Female 
1979,9.4,8.6,Pancreas,White,Female 
1980,9.2,8.6,Pancreas,White,Female 
1981,9.9,8.8,Pancreas,White,Female 
1982,9.9,8.6,Pancreas,White,Female 
1983,10.1,8.9,Pancreas,White,Female 
1984,10.6,8.9,Pancreas,White,Female 
1985,10.3,8.8,Pancreas,White,Female 
1986,9.8,8.9,Pancreas,White,Female 
1987,9.5,8.9,Pancreas,White,Female 
1988,9.6,8.6,Pancreas,White,Female 
1989,9.6,8.8,Pancreas,White,Female 
1990,9.8,8.9,Pancreas,White,Female 
1991,9.8,9,Pancreas,White,Female 
1992,10,8.9,Pancreas,White,Female 
1993,9.3,9,Pancreas,White,Female 
1994,9.8,9,Pancreas,White,Female 
1995,9.6,8.9,Pancreas,White,Female 
1996,9.6,8.9,Pancreas,White,Female 
1997,9.7,8.8,Pancreas,White,Female 
1998,9.9,8.8,Pancreas,White,Female 
1999,9.4,9,Pancreas,White,Female 
2000,9.6,9,Pancreas,White,Female 
2001,9.5,9.1,Pancreas,White,Female 
2002,10.1,9,Pancreas,White,Female 
2003,10.3,9,Pancreas,White,Female 
2004,10.2,9.1,Pancreas,White,Female 
2005,10.3,9.3,Pancreas,White,Female 
2006,10.8,9.3,Pancreas,White,Female 
2007,10.5,9.2,Pancreas,White,Female 
2008,10.9,9.5,Pancreas,White,Female 
2009,11.4,9.4,Pancreas,White,Female 
2010,10.8,9.4,Pancreas,White,Female 
1975,13.9,10.1,Pancreas,Black,Female 
1976,14,10.5,Pancreas,Black,Female 
1977,15.2,10.3,Pancreas,Black,Female 
1978,11.5,10.7,Pancreas,Black,Female 
1979,13.7,11.6,Pancreas,Black,Female 
1980,15.5,11.8,Pancreas,Black,Female 
1981,14.1,10.8,Pancreas,Black,Female 
1982,14,11.9,Pancreas,Black,Female 
1983,14.9,12.5,Pancreas,Black,Female 
1984,16.3,13.1,Pancreas,Black,Female 
1985,14.5,12.4,Pancreas,Black,Female 
1986,15.6,13,Pancreas,Black,Female 
1987,17.9,12.6,Pancreas,Black,Female 
1988,17.3,12.7,Pancreas,Black,Female 
1989,14,13.2,Pancreas,Black,Female 
1990,12.6,13.2,Pancreas,Black,Female 
1991,16.2,12.8,Pancreas,Black,Female 
1992,15.8,13.4,Pancreas,Black,Female 
1993,15.2,13.3,Pancreas,Black,Female 
1994,14.5,13.4,Pancreas,Black,Female 
1995,16.3,12.5,Pancreas,Black,Female 
1996,14.9,13,Pancreas,Black,Female 
1997,16.5,13.1,Pancreas,Black,Female 
1998,13.9,13.1,Pancreas,Black,Female 
1999,14.7,12.4,Pancreas,Black,Female 
2000,13.3,12.7,Pancreas,Black,Female 
2001,13.3,12.6,Pancreas,Black,Female 
2002,16.2,12.4,Pancreas,Black,Female 
2003,15.4,12.5,Pancreas,Black,Female 
2004,13.4,12.2,Pancreas,Black,Female 
2005,16.4,12.5,Pancreas,Black,Female 
2006,15.4,12.6,Pancreas,Black,Female 
2007,14.8,12.8,Pancreas,Black,Female 
2008,15.8,12.6,Pancreas,Black,Female 
2009,15,12.4,Pancreas,Black,Female 
2010,15.5,12.1,Pancreas,Black,Female 
